SrcAddr,n_flows,botnet_flows,normal_flows,bg_flows,n_dst_ips,n_dst_ports,n_src_ports,n_protocols,total_bytes,total_pkts,mean_dur,std_dur,label
1.66.100.55,2,0,0,2,1,1,1,1,216,3,0.089,0.12586500705120546,Background
1.66.101.195,1,0,0,1,1,1,1,1,496,1,0.0,,Background
1.66.96.205,1,0,0,1,1,1,1,1,108,1,0.0,,Background
1.66.97.24,1,0,0,1,1,1,1,1,73,1,0.0,,Background
1.66.97.51,2,0,0,2,1,1,2,1,990,3,0.62,0.8768124086713189,Background
1.66.98.134,1,0,0,1,1,1,1,1,468,1,0.0,,Background
1.66.98.237,1,0,0,1,1,1,1,1,86,1,0.0,,Background
1.66.99.140,2,0,0,2,1,1,1,1,180,2,0.0,0.0,Background
1.66.99.154,2,0,0,2,1,1,1,1,237,3,0.062,0.08768124086713189,Background
1.72.0.231,1,0,0,1,1,1,1,1,492,1,0.0,,Background
1.72.1.159,1,0,0,1,1,1,1,1,109,1,0.0,,Background
1.72.1.199,1,0,0,1,1,1,1,1,85,1,0.0,,Background
1.72.10.196,2,0,0,2,1,1,1,1,978,2,0.0,0.0,Background
1.86.12.150,1,0,0,1,1,1,1,1,72,1,0.0,,Background
1.86.37.242,2,0,0,2,1,1,1,1,214,3,1.4985,2.119199023216083,Background
101.1.114.165,1,0,0,1,1,1,1,1,60,1,0.0,,Background
101.1.206.44,2,0,0,2,1,1,1,1,120,2,0.0,0.0,Background
101.10.141.68,1,0,0,1,1,1,1,1,73,1,0.0,,Background
101.102.2.23,1,0,0,1,1,1,1,1,74,1,0.0,,Background
101.102.60.216,1,0,0,1,1,1,1,1,60,1,0.0,,Background
101.108.109.139,1,0,0,1,1,1,1,1,75,1,0.0,,Background
101.108.55.66,1,0,0,1,1,1,1,1,74,1,0.0,,Background
101.109.147.94,3,0,0,3,1,1,1,1,542,3,0.0,0.0,Background
101.109.148.50,1,0,0,1,1,1,1,1,153,2,0.389,,Background
101.109.178.217,1,0,0,1,1,1,1,1,76,1,0.0,,Background
101.109.178.46,1,0,0,1,1,1,1,1,60,1,0.0,,Background
101.109.190.26,2,0,0,2,1,1,1,1,792,7,2.9779999999999998,2.3886067068481576,Background
101.109.210.1,1,0,0,1,1,1,1,1,76,1,0.0,,Background
101.109.74.62,1,0,0,1,1,1,1,1,178,1,0.0,,Background
101.109.78.23,1,0,0,1,1,1,1,1,77,1,0.0,,Background
101.109.9.254,1,0,0,1,1,1,1,1,77,1,0.0,,Background
101.109.95.25,1,0,0,1,1,1,1,1,64,1,0.0,,Background
101.11.35.2,1,0,0,1,1,1,1,1,60,1,0.0,,Background
101.11.47.190,6,0,0,6,1,3,3,1,4509,56,3.6153333333333335,0.5492764938231623,Background
101.118.221.237,2,0,0,2,1,1,1,1,192,3,0.8795,1.243800828107137,Background
101.118.67.99,1,0,0,1,1,1,1,1,75,1,0.0,,Background
101.118.95.19,1,0,0,1,1,1,1,1,60,1,0.0,,Background
101.12.176.224,17,0,0,17,1,1,1,1,1241,17,0.0,0.0,Background
101.12.185.108,1,0,0,1,1,1,1,1,590,1,0.0,,Background
101.12.90.142,1,0,0,1,1,1,1,1,72,1,0.0,,Background
101.140.212.145,1,0,0,1,1,1,1,1,77,1,0.0,,Background
101.142.115.83,1,0,0,1,1,1,1,1,76,1,0.0,,Background
101.142.152.24,2,0,0,2,1,1,1,1,565,2,0.0,0.0,Background
101.142.3.124,1,0,0,1,1,1,1,1,64,1,0.0,,Background
101.169.17.222,1,0,0,1,1,1,1,1,76,1,0.0,,Background
101.208.19.98,1,0,0,1,1,1,1,1,76,1,0.0,,Background
101.212.106.241,1,0,0,1,1,1,1,1,938,2,1.569,,Background
101.50.161.196,1,0,0,1,1,1,1,1,73,1,0.0,,Background
101.51.108.105,1,0,0,1,1,1,1,1,77,1,0.0,,Background
101.51.28.129,1,0,0,1,1,1,1,1,64,1,0.0,,Background
101.8.103.175,1,0,0,1,1,1,1,1,81,1,0.0,,Background
101.8.184.87,2,0,0,2,1,1,1,1,400,6,0.597,0.18526197667087538,Background
101.8.29.34,2,0,0,2,1,1,1,1,336,2,0.0,0.0,Background
101.8.34.91,1,0,0,1,1,1,1,1,300,5,1.569,,Background
101.8.39.248,1,0,0,1,1,1,1,1,73,1,0.0,,Background
101.99.135.100,1,0,0,1,1,1,1,1,64,1,0.0,,Background
103.1.164.200,1,0,0,1,1,1,1,1,60,1,0.0,,Background
103.1.165.200,1,0,0,1,1,1,1,1,75,1,0.0,,Background
103.1.166.199,1,0,0,1,1,1,1,1,60,1,0.0,,Background
105.141.12.193,1,0,0,1,1,1,1,1,64,1,0.0,,Background
106.129.134.214,1,0,0,1,1,1,1,1,78,1,0.0,,Background
106.131.231.194,2,0,0,2,1,1,1,1,162,2,0.0,0.0,Background
106.134.74.97,1,0,0,1,1,1,1,1,75,1,0.0,,Background
106.142.52.123,1,0,0,1,1,1,1,1,73,1,0.0,,Background
106.149.4.222,1,0,0,1,1,1,1,1,64,1,0.0,,Background
106.70.192.38,1,0,0,1,1,1,1,1,60,1,0.0,,Background
106.76.111.184,6,0,0,6,1,3,4,2,1123,14,1.406666666666667,1.819842593925823,Background
106.77.62.2,1,0,0,1,1,1,1,1,64,1,0.0,,Background
107.10.115.25,1,0,0,1,1,1,1,1,74,1,0.0,,Background
107.10.224.19,1,0,0,1,1,1,1,1,68,1,0.0,,Background
107.10.73.43,1,0,0,1,1,1,1,1,75,1,0.0,,Background
107.10.77.58,1,0,0,1,1,1,1,1,60,1,0.0,,Background
107.10.99.66,1,0,0,1,1,1,1,1,61,1,0.0,,Background
107.2.144.5,1,0,0,1,1,1,1,1,994,2,0.008,,Background
107.2.157.48,1,0,0,1,1,1,1,1,60,1,0.0,,Background
107.2.205.177,1,0,0,1,1,1,1,1,60,1,0.0,,Background
107.20.249.111,7,0,0,7,1,2,1,1,27230,162,2.2087142857142856,2.489980636757758,Background
107.20.27.48,1,0,0,1,1,1,1,1,62,1,0.0,,Background
107.3.232.70,1,0,0,1,1,1,1,1,64,1,0.0,,Background
107.3.236.193,3,0,0,3,2,2,1,1,370,3,0.0,0.0,Background
107.4.45.27,1,0,0,1,1,1,1,1,60,1,0.0,,Background
107.4.64.234,1,0,0,1,1,1,1,1,60,1,0.0,,Background
107.44.206.120,1,0,0,1,1,1,1,1,76,1,0.0,,Background
107.5.100.132,6,0,0,6,1,1,1,1,570,8,0.429,1.0255673551746858,Background
107.5.162.184,1,0,0,1,1,1,1,1,74,1,0.0,,Background
107.5.247.225,1,0,0,1,1,1,1,1,466,1,0.0,,Background
107.51.163.224,3,0,0,3,1,1,1,1,225,3,0.0,0.0,Background
107.52.97.143,1,0,0,1,1,1,1,1,60,1,0.0,,Background
107.53.239.165,4,0,0,4,1,1,1,1,1840,4,0.0,0.0,Background
107.54.222.161,1,0,0,1,1,1,1,1,60,1,0.0,,Background
107.8.136.174,1,0,0,1,1,1,1,1,75,1,0.0,,Background
107.8.138.17,1,0,0,1,1,1,1,1,60,1,0.0,,Background
107.8.150.63,1,0,0,1,1,1,1,1,60,1,0.0,,Background
107.8.157.153,1,0,0,1,1,1,1,1,75,1,0.0,,Background
107.8.241.180,1,0,0,1,1,1,1,1,60,1,0.0,,Background
107.8.34.19,1,0,0,1,1,1,1,1,60,1,0.0,,Background
107.8.61.123,1,0,0,1,1,1,1,1,62,1,0.0,,Background
107.8.77.152,1,0,0,1,1,1,1,1,487,1,0.0,,Background
107.8.84.75,1,0,0,1,1,1,1,1,64,1,0.0,,Background
107.9.211.147,1,0,0,1,1,1,1,1,468,1,0.0,,Background
107.9.240.169,2,0,0,2,1,1,1,1,120,2,0.0,0.0,Background
107.9.25.150,1,0,0,1,1,1,1,1,188,1,0.0,,Background
107.9.5.54,1,0,0,1,1,1,1,1,76,1,0.0,,Background
108.0.20.157,3,0,0,3,1,1,1,1,1392,3,0.0,0.0,Background
108.0.54.34,2,0,0,2,1,1,1,1,527,2,0.0,0.0,Background
108.102.67.65,3,0,0,3,1,1,1,1,203,3,0.0,0.0,Background
108.103.208.26,2,0,0,2,1,1,1,1,958,2,0.0,0.0,Background
108.103.9.221,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.104.53.130,2,0,0,2,1,1,1,1,972,3,0.046,0.06505382386916236,Background
108.105.35.120,1,0,0,1,1,1,1,1,138,2,2.431,,Background
108.106.173.179,1,0,0,1,1,1,1,1,456,1,0.0,,Background
108.110.175.148,1,0,0,1,1,1,1,1,83,1,0.0,,Background
108.12.90.142,1,0,0,1,1,1,1,1,78,1,0.0,,Background
108.122.247.215,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.126.121.206,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.128.1.224,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.128.128.196,2,0,0,2,2,2,1,1,120,2,0.0,0.0,Background
108.128.160.182,1,0,0,1,1,1,1,1,474,1,0.0,,Background
108.129.119.249,1,0,0,1,1,1,1,1,74,1,0.0,,Background
108.129.75.135,1,0,0,1,1,1,1,1,300,5,0.881,,Background
108.13.245.29,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.14.103.84,1,0,0,1,1,1,1,1,73,1,0.0,,Background
108.14.187.48,1,0,0,1,1,1,1,1,75,1,0.0,,Background
108.14.231.116,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.14.54.169,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.15.18.152,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.15.69.6,1,0,0,1,1,1,1,1,78,1,0.0,,Background
108.16.199.176,3,0,0,3,1,1,1,1,900,15,0.7643333333333334,0.050212880153734846,Background
108.16.61.142,1,0,0,1,1,1,1,1,73,1,0.0,,Background
108.17.154.5,1,0,0,1,1,1,1,1,73,1,0.0,,Background
108.17.19.138,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.18.14.34,1,0,0,1,1,1,1,1,74,1,0.0,,Background
108.18.248.177,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.192.72.117,1,0,0,1,1,1,1,1,72,1,0.0,,Background
108.195.61.58,1,0,0,1,1,1,1,1,300,5,0.902,,Background
108.196.136.127,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.2.195.5,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.20.130.41,1,0,0,1,1,1,1,1,73,1,0.0,,Background
108.20.145.190,1,0,0,1,1,1,1,1,76,1,0.0,,Background
108.201.228.118,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.201.88.95,1,0,0,1,1,1,1,1,76,1,0.0,,Background
108.203.188.193,1,0,0,1,1,1,1,1,179,1,0.0,,Background
108.26.70.248,1,0,0,1,1,1,1,1,135,2,2.232,,Background
108.27.47.94,3,0,0,3,1,1,1,1,1362,3,0.0,0.0,Background
108.28.112.105,1,0,0,1,1,1,1,1,76,1,0.0,,Background
108.28.236.215,1,0,0,1,1,1,1,1,840,11,0.27,,Background
108.3.147.160,1,0,0,1,1,1,1,1,72,1,0.0,,Background
108.3.229.54,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.34.225.94,1,0,0,1,1,1,1,1,71,1,0.0,,Background
108.35.247.74,1,0,0,1,1,1,1,1,73,1,0.0,,Background
108.4.4.74,1,0,0,1,1,1,1,1,300,5,0.832,,Background
108.41.135.226,1,0,0,1,1,1,1,1,75,1,0.0,,Background
108.41.36.104,2,0,0,2,1,1,1,1,2200,7,0.20600000000000002,0.06929646455628168,Background
108.44.130.120,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.48.11.222,2,0,0,2,1,2,1,1,279,4,1.521,2.1510188283694776,Background
108.49.94.150,1,0,0,1,1,1,1,1,75,1,0.0,,Background
108.5.108.140,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.5.249.239,1,0,0,1,1,1,1,1,300,5,0.528,,Background
108.5.252.108,1,0,0,1,1,1,1,1,464,1,0.0,,Background
108.5.74.160,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.5.76.230,2,0,0,2,1,1,1,1,309,2,0.0,0.0,Background
108.50.154.84,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.56.50.84,2,0,0,2,1,1,2,1,138,2,0.0,0.0,Background
108.58.201.51,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.62.211.92,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.64.236.14,2,0,0,2,1,1,1,1,2304,30,0.488,0.11879393923933994,Background
108.65.128.138,3,0,0,3,1,1,1,1,555,3,0.0,0.0,Background
108.65.99.56,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.66.52.236,7,0,0,7,1,1,1,1,832,13,0.27214285714285713,0.3505198180661728,Background
108.67.114.84,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.68.100.14,1,0,0,1,1,1,1,1,81,1,0.0,,Background
108.68.162.68,2,0,0,2,1,1,1,1,120,2,0.0,0.0,Background
108.69.142.49,2,0,0,2,1,1,1,1,1142,2,0.0,0.0,Background
108.69.60.141,1,0,0,1,1,1,1,1,72,1,0.0,,Background
108.7.144.59,2,0,0,2,1,1,1,1,138,2,0.0,0.0,Background
108.7.159.142,1,0,0,1,1,1,1,1,300,5,1.272,,Background
108.71.182.18,3,0,0,3,1,1,2,1,2598,34,0.7403333333333334,0.3692564601104947,Background
108.72.112.104,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.72.45.63,1,0,0,1,1,1,1,1,300,5,0.6,,Background
108.74.18.249,1,0,0,1,1,1,1,1,74,1,0.0,,Background
108.74.196.175,1,0,0,1,1,1,1,1,300,5,0.597,,Background
108.75.190.141,4,0,0,4,1,1,2,1,84544,86,3.779,1.065565890344969,Background
108.75.75.18,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.76.145.146,5,0,0,5,1,1,1,1,3606,7,0.0054,0.012074767078498866,Background
108.76.253.184,1,0,0,1,1,1,1,1,73,1,0.0,,Background
108.78.230.123,3,0,0,3,1,2,1,2,351,5,0.44,0.7621023553303061,Background
108.79.54.15,5,0,0,5,1,1,1,1,2080,6,0.0016,0.0035777087639996636,Background
108.80.177.154,1,0,0,1,1,1,1,1,95,1,0.0,,Background
108.81.96.188,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.82.101.252,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.83.123.247,1,0,0,1,1,1,1,1,300,5,0.778,,Background
108.83.227.227,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.83.29.182,1,0,0,1,1,1,1,1,68,1,0.0,,Background
108.84.82.146,1,0,0,1,1,1,1,1,60,1,0.0,,Background
108.85.125.137,1,0,0,1,1,1,1,1,73,1,0.0,,Background
108.85.210.73,1,0,0,1,1,1,1,1,75,1,0.0,,Background
108.85.51.44,1,0,0,1,1,1,1,1,76,1,0.0,,Background
108.85.69.220,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.86.12.231,1,0,0,1,1,1,1,1,76,1,0.0,,Background
108.86.250.80,1,0,0,1,1,1,1,1,64,1,0.0,,Background
108.88.21.15,2,0,0,2,1,1,1,1,154,2,0.0,0.0,Background
108.89.36.25,2,0,0,2,1,1,2,1,362,2,0.0,0.0,Background
108.90.122.49,3,0,0,3,1,1,1,1,528,3,0.0,0.0,Background
108.93.124.200,3,0,0,3,1,1,3,1,742,4,0.7343333333333333,1.2719026430247455,Background
108.93.98.34,1,0,0,1,1,1,1,1,68,1,0.0,,Background
108.94.105.19,1,0,0,1,1,1,1,1,130,2,0.159,,Background
109.10.134.239,1,0,0,1,1,1,1,1,130,2,0.244,,Background
109.10.161.201,1,0,0,1,1,1,1,1,68,1,0.0,,Background
109.10.215.20,1,0,0,1,1,1,1,1,704,2,0.34,,Background
109.10.94.248,1,0,0,1,1,1,1,1,76,1,0.0,,Background
109.100.113.108,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.100.129.151,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.100.130.154,1,0,0,1,1,1,1,1,181,1,0.0,,Background
109.105.163.198,1,0,0,1,1,1,1,1,471,1,0.0,,Background
109.105.168.136,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.105.175.173,1,0,0,1,1,1,1,1,75,1,0.0,,Background
109.105.177.83,2,0,0,2,2,2,1,1,120,2,0.0,0.0,Background
109.105.187.8,1,0,0,1,1,1,1,1,465,1,0.0,,Background
109.105.67.159,2,0,0,2,1,1,1,1,144,2,0.0,0.0,Background
109.105.7.118,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.105.84.241,1,0,0,1,1,1,1,1,74,1,0.0,,Background
109.105.93.63,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.106.132.114,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.106.135.22,2,0,0,2,1,1,1,1,354,2,0.0,0.0,Background
109.106.156.133,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.106.193.24,1,0,0,1,1,1,1,1,74,1,0.0,,Background
109.106.248.194,1,0,0,1,1,1,1,1,471,1,0.0,,Background
109.107.67.96,1,0,0,1,1,1,1,1,300,5,0.275,,Background
109.107.88.67,1,0,0,1,1,1,1,1,176,1,0.0,,Background
109.107.90.146,3,0,0,3,1,1,1,1,529,3,0.0,0.0,Background
109.107.97.206,2,0,0,2,1,1,1,1,372,2,0.0,0.0,Background
109.108.112.198,1,0,0,1,1,1,1,1,77,1,0.0,,Background
109.108.119.40,1,0,0,1,1,1,1,1,138,1,0.0,,Background
109.108.208.213,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.108.232.164,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.108.234.44,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.108.242.96,1,0,0,1,1,1,1,1,72,1,0.0,,Background
109.108.41.170,1,0,0,1,1,1,1,1,74,1,0.0,,Background
109.108.58.70,1,0,0,1,1,1,1,1,76,1,0.0,,Background
109.108.74.108,1,0,0,1,1,1,1,1,154,2,0.029,,Background
109.11.123.6,2,0,0,2,1,1,1,1,623,3,0.213,0.30122748878546923,Background
109.11.182.90,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.11.4.150,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.110.11.125,1,0,0,1,1,1,1,1,73,1,0.0,,Background
109.110.14.17,1,0,0,1,1,1,1,1,83,1,0.0,,Background
109.110.142.29,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.110.142.35,1,0,0,1,1,1,1,1,77,1,0.0,,Background
109.110.15.229,3,0,0,3,1,1,1,1,556,3,0.0,0.0,Background
109.110.17.109,1,0,0,1,1,1,1,1,74,1,0.0,,Background
109.110.18.104,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.110.18.234,6,0,0,6,1,3,3,1,558,9,1.4856666666666667,1.6275948717867927,Background
109.110.4.75,1,0,0,1,1,1,1,1,76,1,0.0,,Background
109.110.9.36,1,0,0,1,1,1,1,1,80,1,0.0,,Background
109.111.131.227,1,0,0,1,1,1,1,1,300,5,0.199,,Background
109.111.131.47,2,0,0,2,2,2,2,1,120,2,0.0,0.0,Background
109.111.133.158,3,0,0,3,3,3,1,1,180,3,0.0,0.0,Background
109.111.133.5,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.111.136.254,1,0,0,1,1,1,1,1,176,1,0.0,,Background
109.111.136.75,3,0,0,3,1,1,1,1,180,3,0.0,0.0,Background
109.111.144.35,1,0,0,1,1,1,1,1,513,1,0.0,,Background
109.111.151.146,2,0,0,2,1,1,2,1,129,2,0.0,0.0,Background
109.111.158.188,2,0,0,2,1,1,1,1,248,2,0.0,0.0,Background
109.111.16.146,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.111.189.89,1,0,0,1,1,1,1,1,78,1,0.0,,Background
109.112.101.33,1,0,0,1,1,1,1,1,73,1,0.0,,Background
109.113.108.84,4,0,0,4,1,2,1,1,1266,7,1.19125,2.1335665562620725,Background
109.113.185.212,1,0,0,1,1,1,1,1,300,5,2.896,,Background
109.113.235.8,1,0,0,1,1,1,1,1,1092,4,2.168,,Background
109.113.53.225,1,0,0,1,1,1,1,1,130,2,1.517,,Background
109.113.66.115,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.114.10.152,1,0,0,1,1,1,1,1,76,1,0.0,,Background
109.114.107.74,1,0,0,1,1,1,1,1,125,2,0.118,,Background
109.114.150.172,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.114.190.7,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.114.43.142,1,0,0,1,1,1,1,1,75,1,0.0,,Background
109.114.91.196,4,0,0,4,1,1,2,1,559,7,0.21825,0.43650000000000005,Background
109.115.111.214,1,0,0,1,1,1,1,1,85,1,0.0,,Background
109.115.12.217,112,0,0,112,1,1,1,1,88223,267,1.4493392857142857,1.7783738525753832,Background
109.115.151.219,34,0,0,34,1,1,1,1,17256,167,2.145029411764706,1.9328468481756833,Background
109.115.182.32,2,0,0,2,1,1,1,1,546,3,0.9195,1.300369370602061,Background
109.115.206.176,5,0,0,5,1,1,1,1,951,5,0.0,0.0,Background
109.115.213.173,3,0,0,3,1,1,1,1,510,3,0.0,0.0,Background
109.115.229.28,2,0,0,2,1,1,1,1,312,4,2.941,1.132785063460849,Background
109.116.153.212,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.116.165.189,1,0,0,1,1,1,1,1,178,1,0.0,,Background
109.116.195.47,1,0,0,1,1,1,1,1,72,1,0.0,,Background
109.116.196.180,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.116.200.232,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.116.229.7,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.116.245.217,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.117.193.59,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.118.20.198,1,0,0,1,1,1,1,1,77,1,0.0,,Background
109.118.37.245,1,0,0,1,1,1,1,1,72,1,0.0,,Background
109.118.93.86,1,0,0,1,1,1,1,1,72,1,0.0,,Background
109.119.185.58,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.12.196.141,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.12.50.143,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.12.59.2,1,0,0,1,1,1,1,1,72,1,0.0,,Background
109.12.66.246,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.120.144.113,1,0,0,1,1,1,1,1,105,1,0.0,,Background
109.120.200.215,1,0,0,1,1,1,1,1,64,1,0.0,,Background
109.120.201.221,2,0,0,2,2,2,2,1,128,2,0.0,0.0,Background
109.120.3.157,1,0,0,1,1,1,1,1,61,1,0.0,,Background
109.120.53.254,2,0,0,2,1,1,1,1,1116,14,1.7135,1.9919198026025042,Background
109.120.61.149,3,0,0,3,1,1,1,1,557,3,0.0,0.0,Background
109.120.77.94,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.120.98.91,1,0,0,1,1,1,1,1,60,1,0.0,,Background
109.121.132.32,1,0,0,1,1,1,1,1,74,1,0.0,,Background
109.121.135.44,1,0,0,1,1,1,1,1,62,1,0.0,,Background
109.121.14.5,1,0,0,1,1,1,1,1,64,1,0.0,,Background
